reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.01,4
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.025,11.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.05,14
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.1,16
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.15,17
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.2,18.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.25,19
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.3,20.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.35,21.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.4,21.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.45,22
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.5,22
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.55,23
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.6,23.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.65,24
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.7,24.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.75,25.5
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.8,27
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.85,30
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.9,34
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.95,40
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.975,46
2026-04-11,01,0,wk inc rsv hosp,2026-04-11,quantile,0.99,54
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.01,3
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.025,7
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.05,9
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.1,11
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.15,12.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.2,14
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.25,15
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.3,16
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.35,16
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.4,17.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.45,17.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.5,17.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.55,18.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.6,19.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.65,20
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.7,21
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.75,22.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.8,23
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.85,26.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.9,28.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.95,35
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.975,41.5
2026-04-11,01,1,wk inc rsv hosp,2026-04-18,quantile,0.99,51
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.01,2.5
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.025,5
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.05,6
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.1,7
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.15,8
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.2,10
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.25,11
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.3,12
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.35,13
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.4,14
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.45,15
2026-04-11,01,2,wk inc rsv hosp,2026-04-25,quantile,0.5,15.5
