reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.01,1.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.025,2
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.05,2.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.1,3.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.15,4
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.2,5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.25,5.25
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.3,5.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.35,6.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.4,6.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.45,7.25
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.5,7.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.55,8.25
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.6,8.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.65,9.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.7,10
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.75,10.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.8,11.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.85,12.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.9,14.25
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.95,15.5
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.975,18.75
2026-05-30,01,0,wk inc rsv hosp,2026-05-30,quantile,0.99,25.5
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.01,1.25
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.025,1.5
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.05,2.25
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.1,2.75
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.15,3.75
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.2,4
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.25,4.5
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.3,5.75
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.35,5.75
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.4,6.25
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.45,6.5
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.5,7
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.55,7.75
2026-05-30,01,1,wk inc rsv hosp,2026-06-06,quantile,0.6,8.5
