reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.01,21
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.025,23
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.05,26
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.1,29
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.15,31
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.2,32
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.25,34
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.3,35
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.35,36
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.4,37
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.45,39
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.5,40
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.55,41
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.6,42
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.65,43
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.7,45
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.75,46
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.8,48
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.85,50
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.9,53
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.95,57
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.975,61
2026-03-21,01,-1,wk inc rsv hosp,2026-03-14,quantile,0.99,66
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.01,11.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.025,15.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.05,19
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.1,21.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.15,24
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.2,25.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.25,27.25
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.3,28.25
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.35,29
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.4,30.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.45,31
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.5,32.25
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.55,33.75
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.6,34.25
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.65,36
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.7,38
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.75,39.75
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.8,40.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.85,42.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.9,46.75
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.95,52.5
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.975,61.51249999999993
2026-03-21,01,0,wk inc rsv hosp,2026-03-21,quantile,0.99,76.75
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.01,7
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.025,11
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.05,13.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.1,16
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.15,18
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.2,20
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.25,21.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.3,23
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.35,24.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.4,26
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.45,27.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.5,28.25
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.55,29.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.6,30.25
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.65,31.25
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.7,32.75
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.75,34.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.8,36
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.85,38.25
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.9,42.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.95,49.75
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.975,60.5
2026-03-21,01,1,wk inc rsv hosp,2026-03-28,quantile,0.99,75
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.01,4
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.025,6
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.05,8
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.1,10
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.15,12
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.2,14
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.25,15
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.3,17
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.35,18
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.4,20
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.45,22
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.5,24
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.55,26
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.6,28
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.65,30
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.7,30.5
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.75,31
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.8,32
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.85,34
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.9,38.5
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.95,45.5
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.975,59
2026-03-21,01,2,wk inc rsv hosp,2026-04-04,quantile,0.99,80.5
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.01,3
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.025,4
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.05,5
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.1,7
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.15,8
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.2,10
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.25,11
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.3,12
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.35,14
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.4,15
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.45,16
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.5,18
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.55,19
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.6,21
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.65,24
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.7,26
2026-03-21,01,3,wk inc rsv hosp,2026-04-11,quantile,0.75,26.5
